"ID","yr","ewe_age","age_class","prim","birthdate","median_bdate","birthdate_tp1","greenup_date","mass_fall_tm1","mass_fall","mass_spring","mass_gain","greenup_mismatch","mismatch_tp1","wean_mass","code_sr","repro_tp1","wean_tp1","frs","pred","first_pregnant"
298,2010,4,"adult","FALSE",144,144,"148",150,71.382,73.907,52.913,"20.9936511752639",-6,"-3",28.834,"5","yes","yes","weaned","0","0"
298,2011,5,"adult","FALSE",148,148,"153",151,73.907,75.772,54.525,"21.2464404617259",-3,"7",30.544,"5","yes","yes","weaned","0","0"
298,2012,6,"adult","FALSE",153,150,NA,146,75.772,73.916,58.99,"14.9267291525585",7,NA,21.374,"3",NA,NA,NA,"0","0"
299,2008,2,"adult",NA,NA,148,NA,160,NA,65.229,44.447,"20.781951583915",NA,NA,NA,"0","yes","yes","weaned","0","0"
299,2009,3,"prim","TRUE",141,140.5,"141",146,65.229,68.461,48.546,"19.9150355453591",-5,"-9",28.942,"3","yes","yes","weaned","0","0"
299,2010,4,"adult","FALSE",141,144,NA,150,68.461,72.093,47.799,"24.2943089837171",-9,NA,30.177,"3",NA,NA,NA,"0","0"
300,2009,2,"adult",NA,NA,140.5,NA,146,NA,58.941,42.13,"16.8109188223493",NA,NA,NA,"0","yes","yes","weaned","0","0"
300,2010,3,"prim","TRUE",149,144,NA,150,58.941,67.935,48.365,"19.5700027279895",-1,NA,27.928,"5","yes","no","neoDeath","0","0"
300,2011,4,"adult","FALSE",NA,148,NA,151,67.935,71.306,51.114,"20.1918252823635",NA,NA,NA,"1","yes","no","neoDeath","0","0"
300,2012,5,"adult","FALSE",NA,150,NA,146,71.306,72.142,56.542,"15.5996880358342",NA,NA,NA,"1","yes","no","notWeaned","0","0"
300,2013,6,"adult","FALSE",145,156,"152",146,72.142,70.525,57.451,"13.0741944763523",-1,"0",NA,"2","yes","yes","weaned","1","0"
300,2014,7,"adult","FALSE",152,155.5,"148",152,70.525,74.94,53.77,"21.1699846247178",0,"11",29.205,"5","yes","yes","weaned","0","0"
300,2015,8,"adult","FALSE",148,147.5,"149",137,74.94,76.888,60.258,"16.6300881387131",11,"26",29.104,"3","yes","yes","weaned","0","0"
300,2016,9,"adult","FALSE",149,149,"140",123,76.888,77.849,66.453,"11.3954960833887",26,"-1",NA,"5","yes","yes","weaned","0","0"
300,2017,10,"adult","FALSE",140,145.5,"147",141,77.849,77.665,62.2,"15.4652555311291",-1,"16",38.179,"5","yes","yes","weaned","0","0"
300,2018,11,"adult","FALSE",147,152,NA,131,77.665,75.134,58.275,"16.8593503551768",16,NA,29.999,"3",NA,NA,NA,"0","0"
301,2009,2,"adult",NA,NA,140.5,NA,146,NA,55.253,37.892,"17.3606395136949",NA,NA,NA,"0",NA,NA,NA,"0","0"
302,2009,2,"adult",NA,NA,140.5,NA,146,NA,52.968,35.708,"17.2601978438474",NA,NA,NA,"0","yes","yes","weaned","0","0"
302,2010,3,"prim","TRUE",149,144,NA,150,52.968,56.144,49.515,"6.6294832925082",-1,NA,23.134,"5",NA,NA,NA,"0","1"
303,2009,2,"adult",NA,NA,140.5,NA,146,NA,60.678,41.558,"19.1204766262328",NA,NA,NA,"0","yes","yes","weaned","0","0"
303,2010,3,"prim","TRUE",141,144,NA,150,60.678,67.886,48.08,"19.8056230621139",-9,NA,28.749,"5",NA,NA,NA,"0","0"
304,2009,2,"adult",NA,NA,140.5,NA,146,NA,52.497,33.63,"18.8666931488744",NA,NA,NA,"0","yes","yes","weaned","0","0"
304,2010,3,"prim","TRUE",144,144,"195",150,52.497,60.097,43.329,"16.7685230447865",-6,"44",24.649,"5","yes","yes","weaned","0","0"
304,2011,4,"adult","FALSE",195,148,"153",151,60.097,64.378,49.959,"14.4191312320928",44,"7",16.952,"5","yes","yes","weaned","0","1"
304,2012,5,"adult","FALSE",153,150,NA,146,64.378,64.816,49.625,"15.1910836358604",7,NA,21.997,"5",NA,NA,NA,"0","1"
305,2009,2,"adult",NA,NA,140.5,NA,146,NA,56.192,38.114,"18.0771509307108",NA,NA,NA,"0","yes","no","notWeaned","0","0"
305,2010,3,"prim","TRUE",136,144,"149",150,56.192,62.369,42.016,"20.352885972366",-14,"-2",NA,"2","yes","yes","weaned","0","0"
305,2011,4,"adult","FALSE",149,148,"146",151,62.369,67.812,48.269,"19.5426458196952",-2,"0",26.377,"5","yes","yes","weaned","0","0"
305,2012,5,"adult","FALSE",146,150,NA,146,67.812,67.326,49.997,"17.3293430104613",0,NA,25.264,"3","yes","no","neoDeath","0","0"
305,2013,6,"adult","FALSE",NA,156,NA,146,67.326,67.487,54.109,"13.3779082253404",NA,NA,NA,"1","yes","yes","weaned","1","0"
305,2014,7,"adult","FALSE",155,155.5,"154",152,67.487,65.864,56.603,"9.2604549233215",3,"17",24.296,"5","yes","yes","weaned","0","0"
305,2015,8,"adult","FALSE",154,147.5,"145",137,65.864,70.868,55.965,"14.9028462514833",17,"22",NA,"5","yes","yes","weaned","0","0"
305,2016,9,"adult","FALSE",145,149,"143",123,70.868,69.338,58.04,"11.2981825937857",22,"2",31.661,"5","yes","yes","weaned","0","0"
305,2017,10,"adult","FALSE",143,145.5,"150",141,69.338,69.608,51.798,"17.8098710410278",2,"19",31.164,"5","yes","no","notWeaned","0","0"
