"ID","yr","ewe_age_z","age_class","prim","mass_gain","repro_tp1","frs","wean_tp1","birthdate_tp1","mismatch_tp1","pred","first_pregnant","birthdate_z","median_bdate_z","greenup_date_z","mass_fall_tm1_z","mass_fall_z","mass_spring_z","greenup_mismatch_z","code_sr","wean_mass_z"
34,2008,1.923,"senescent","FALSE",20.124,"yes","notWeaned","no",138,-8,"0","0",-0.463,-0.692,1.219,0.326,0.732,0.156,-1.113,"5",0.151
34,2009,2.209,"senescent","FALSE",NA,NA,NA,NA,NA,NA,"0",NA,-1.17,-1.781,-0.028,0.738,NA,NA,-0.896,"2",NA
35,2002,-0.078,"prim","TRUE",14.571,"no","noLamb",NA,NA,NA,"1","0",NA,0.034,1.041,-0.864,-1.613,-1.322,NA,"1",NA
36,2001,-0.363,"prim","TRUE",8.997,"yes","neoDeath","no",NA,NA,"1","1",0.457,1.196,1.041,0.046,0.069,0.884,-0.298,"3",0.541
36,2002,-0.078,"adult","FALSE",20.418,"yes","weaned","yes",NA,NA,"1","1",NA,0.034,1.041,0.086,0.294,-0.28,NA,"1",NA
36,2003,0.208,"adult","FALSE",12.415,NA,NA,NA,NA,NA,"0","1",0.245,1.341,0.507,0.307,0.397,0.774,-0.135,"5",NA
37,2001,-0.649,"prim","TRUE",12.24,"yes","neoDeath","no",NA,NA,"1","0",-0.463,1.196,1.041,-1.031,-0.844,-0.34,-1.004,"5",-0.748
37,2002,-0.363,"adult","FALSE",20.86,"yes","weaned","yes",NA,NA,"1","1",NA,0.034,1.041,-0.812,-0.756,-1.292,NA,"1",NA
37,2003,-0.078,"adult","FALSE",15.618,"yes","weaned","yes",161,15,"0","0",0.315,1.341,0.507,-0.725,-0.591,-0.513,-0.08,"3",-0.978
37,2004,0.208,"adult","FALSE",12.928,"yes","weaned","yes",157,15,"0","1",0.457,1.051,-0.028,-0.562,-0.313,0.064,0.354,"3",-0.149
37,2005,0.494,"adult","FALSE",15.635,"yes","weaned","yes",184,50,"0","0",0.174,-0.474,-0.384,-0.289,-0.081,-0.049,0.354,"3",-0.387
37,2006,0.78,"adult","FALSE",13.147,"yes","notWeaned","no",149,-3,"0","1",2.084,-0.619,-1.097,-0.061,0.235,0.539,2.257,"5",-1.391
37,2007,1.066,"adult","FALSE",12.021,"yes","notWeaned","no",146,-14,"0","0",-0.392,-1.127,0.507,0.25,-0.791,-0.265,-0.624,"2",-2.133
37,2008,1.351,"adult","FALSE",20.847,NA,NA,NA,NA,NA,"0","0",-0.604,-0.692,1.219,-0.759,0.008,-0.593,-1.222,"2",NA
