"ID","yr","ewe_age_z","age_class","prim","mass_gain","repro_tp1","frs","wean_tp1","birthdate_tp1","mismatch_tp1","pred","first_pregnant","birthdate_z","median_bdate_z","greenup_date_z","mass_fall_tm1_z","mass_fall_z","mass_spring_z","greenup_mismatch_z","code_sr","wean_mass_z","rtp1"
24,2003,-0.649,"adult","FALSE",16.465,"yes","neoDeath","no",NA,NA,"0","1",NA,1.341,0.507,-1.731,-1.021,-1.008,NA,"1",NA,"1"
25,2004,-0.649,"prim","TRUE",15.431,"yes","neoDeath","no",NA,NA,"0","0",NA,1.051,-0.028,-0.335,0.578,0.578,NA,"2",NA,"1"
25,2005,-0.363,"adult","FALSE",14.17,"yes","weaned","yes",NA,NA,"0","0",NA,-0.474,-0.384,0.587,1.309,1.398,NA,"1",NA,"1"
25,2006,-0.078,"adult","FALSE",8.189,"yes","weaned","yes",145,-7,"0","0",-0.533,-0.619,-1.097,1.305,1.059,1.886,0.246,"5",1.956,"1"
25,2007,0.208,"adult","FALSE",13.743,"yes","weaned","yes",143,-17,"0","0",-0.675,-1.127,0.507,1.059,1.311,1.451,-0.841,"3",0.856,"1"
25,2008,0.494,"adult","FALSE",20.232,"yes","weaned","yes",137,-9,"0","0",-0.816,-0.692,1.219,1.308,1.791,1.111,-1.385,"5",1.653,"1"
25,2009,0.78,"adult","FALSE",18.989,"yes","weaned","yes",141,-9,"0","0",-1.241,-1.781,-0.028,1.779,1.614,1.099,-0.95,"5",1.323,"1"
25,2010,1.066,"adult","FALSE",19.986,"yes","weaned","yes",145,-6,"0","0",-0.958,-1.272,0.328,1.606,1.869,1.213,-0.95,"5",2.002,"1"
26,2004,-0.935,"prim","TRUE",14.226,"yes","weaned","yes",148,6,"0","1",0.315,1.051,-0.028,-0.855,0.698,0.832,0.246,"2",NA,"1"
26,2005,-0.649,"adult","FALSE",17.354,"yes","weaned","yes",150,16,"0","0",-0.463,-0.474,-0.384,0.704,1.045,0.774,-0.135,"3",0.41,"1"
26,2006,-0.363,"adult","FALSE",15.449,"yes","weaned","yes",145,-7,"0","0",-0.321,-0.619,-1.097,1.045,1.412,1.339,0.409,"5",0.867,"1"
26,2007,-0.078,"adult","FALSE",14.625,"yes","weaned","yes",152,-8,"0","0",-0.675,-1.127,0.507,1.406,1.388,1.416,-0.841,"5",1.046,"1"
26,2008,0.208,"adult","FALSE",28.445,"yes","weaned","yes",140,-6,"0","0",-0.18,-0.692,1.219,1.383,1.957,0.279,-0.896,"5",0.326,"1"
26,2009,0.494,"adult","FALSE",22.97,"yes","weaned","yes",150,0,"0","0",-1.029,-1.781,-0.028,1.942,1.977,0.954,-0.787,"5",1.785,"1"
26,2010,0.78,"adult","FALSE",19.049,"yes","weaned","yes",139,-12,"0","0",-0.321,-1.272,0.328,1.962,1.832,1.291,-0.461,"5",2.267,"1"
26,2011,1.066,"adult","FALSE",19.537,"yes","weaned","yes",153,7,"0","0",-1.099,-0.692,0.418,1.82,1.829,1.23,-1.113,"3",NA,"1"
26,2012,1.351,"adult","FALSE",15.238,"yes","weaned","yes",150,4,"0","0",-0.109,-0.401,-0.028,1.816,1.476,1.423,-0.08,"3",1.038,"1"
27,2005,-0.649,"prim","TRUE",14.606,"yes","weaned","yes",NA,NA,"0","0",NA,-0.474,-0.384,-0.08,0.523,0.627,NA,"1",NA,"1"
27,2006,-0.363,"adult","FALSE",14.413,"yes","weaned","yes",163,11,"0","0",-0.604,-0.619,-1.097,0.533,0.927,1.019,0.191,"5",1.207,"1"
28,2005,-0.935,"prim","TRUE",15.481,"yes","weaned","yes",149,15,"0","0",0.032,-0.474,-0.384,-1.694,-0.78,-0.669,0.246,"5",-0.488,"1"
28,2006,-0.649,"adult","FALSE",14.027,"yes","weaned","yes",148,-4,"0","0",-0.392,-0.619,-1.097,-0.748,-0.617,-0.346,0.354,"5",0.069,"1"
28,2007,-0.363,"adult","FALSE",12.393,"yes","weaned","yes",148,-12,"0","0",-0.463,-1.127,0.507,-0.588,-0.354,0.09,-0.678,"5",-0.449,"1"
28,2008,-0.078,"adult","FALSE",23.216,"yes","weaned","yes",139,-7,"0","0",-0.463,-0.692,1.219,-0.33,0.291,-0.618,-1.113,"5",0.242,"1"
28,2009,0.208,"adult","FALSE",19.058,"yes","weaned","yes",139,-11,"0","0",-1.099,-1.781,-0.028,0.304,0.296,-0.115,-0.841,"3",1.424,"1"
28,2010,0.494,"adult","FALSE",19.028,"yes","neoDeath","no",NA,NA,"0","0",-1.099,-1.272,0.328,0.309,0.614,0.18,-1.059,"5",0.545,"1"
29,2006,-0.935,"prim","TRUE",13.265,"yes","weaned","yes",NA,NA,"0","1",NA,-0.619,-1.097,-0.98,0.085,0.387,NA,"1",NA,"1"
29,2007,-0.649,"adult","FALSE",12.208,"yes","weaned","yes",148,-12,"0","0",-0.675,-1.127,0.507,0.102,-0.014,0.423,-0.841,"3",-0.032,"1"
29,2008,-0.363,"adult","FALSE",37.234,"yes","weaned","yes",145,-1,"0","0",-0.463,-0.692,1.219,0.004,1.275,-1.398,-1.113,"5",0.37,"1"
29,2009,-0.078,"adult","FALSE",23.455,"yes","weaned","yes",159,9,"0","0",-0.675,-1.781,-0.028,1.272,1.162,0.15,-0.515,"3",0.724,"1"
29,2010,0.208,"adult","FALSE",11.149,"yes","weaned","yes",144,-7,"0","1",0.315,-1.272,0.328,1.161,0.694,1.197,0.028,"5",0.128,"1"
29,2011,0.494,"adult","FALSE",20.931,"yes","weaned","yes",148,2,"0","0",-0.746,-0.692,0.418,0.7,1.162,0.452,-0.841,"3",0.693,"1"
29,2012,0.78,"adult","FALSE",16.672,"yes","weaned","yes",163,17,"0","0",-0.463,-0.401,-0.028,1.16,0.853,0.681,-0.352,"5",0.106,"1"
